# Live top-level children of Figma page 4914:113562 ("✅ Social") in file 3sSzw1KewMtUbeLAv7uW0r.
# Harvested 2026-08-20 via use_figma (page.children, in document order). n = 442.
# Columns: nodeId <TAB> type <TAB> WxH <TAB> x,y <TAB> live name (VERBATIM — trailing spaces,
# double spaces and the stray ")" on 11400:91695 are all as Figma holds them; do not tidy).
# Node ids use COLONS here (Figma's native form). registry.json / *.nodes.txt use DASHES.
9657:216084	FRAME	1440x900	-1630,39719	Skai > Social - with "tweets" > comment thread ALT (1440 x 900px)
9659:217842	RECTANGLE	151x720	920,0	Rectangle 163
9659:217844	RECTANGLE	151x720	18402,0	Rectangle 164
10155:270966	RECTANGLE	151x720	33708,0	Rectangle 165
10216:182465	RECTANGLE	151x720	45046,0	Rectangle 166
10025:225649	FRAME	250x168	20637,7616	dropdown-creators
11529:293029	FRAME	220x160	26219,7552	dropdown-creators
11529:293244	FRAME	200x160	28803,7552	dropdown-creators
10108:262300	FRAME	248x844	17134,4001	sidebar - open live
10213:16819	FRAME	248x844	32440,2801	sidebar - open live
10219:182490	FRAME	218x84	45630,3117	dropdown - tridots - reply
11398:85209	FRAME	218x80	51951,2801	dropdown - tridots - reply
10221:182894	FRAME	250x168	45630,4183	dropdown-group filter
11398:85199	FRAME	200x152	50701,4001	dropdown-group filter
10227:200411	FRAME	250x168	45630,12116	dropdown-members
11398:85189	FRAME	200x152	51934,11840	dropdown-members
10302:184716	INSTANCE	158x50	-280,8270	CTA/button
10302:184717	FRAME	200x122	-280,8355	dropdown-main
11530:302910	FRAME	120x224	6819,8692	dropdown-time
11530:302923	FRAME	120x212	11752,7974	dropdown-time
11530:302936	FRAME	180x116	5671,8788	dropdown-main
11530:302943	FRAME	160x110	11017,8068	dropdown-main
11341:85236	FRAME	375x812	40487,2677	Skai > Social > Messages - empty 1VH (375 x 812px)
11341:88388	FRAME	375x882	40962,4001	Skai > Social > Messages 1VH (375 x 812px)
11367:22805	FRAME	375x812	40487,4001	Skai > Social > Messages 1VH (375 x 812px)
11380:23801	FRAME	375x812	40487,14543	Skai > Social > Messages > Sample Conversation > Groups 1VH (375 x 812px)
11380:24302	FRAME	375x812	40487,15743	Skai > Social > Messages > Sample Conversation > Message requests 1VH (375 x 812px)
11365:21892	FRAME	375x812	40487,5201	Skai > Social > Messages > Sample Conversation 1VH (375 x 812px)
11373:23253	FRAME	375x812	40487,12143	Skai > Social > Messages > Sample Conversation > Dropdown options 1VH (375 x 812px)
