# bug-report Figma node-id -> catalog frame that covers it
# reason: child     = referenced node is a descendant of the catalog frame
#         page      = report linked a whole Figma page, not a frame
#         gone      = node-id no longer resolves in the Figma file
#         copy-file = report linked a DUPLICATE Figma file; node-ids are
#                     preserved by a Figma file copy, so the same id in the
#                     primary Skai-Web-App file is the covering frame
# a refNode may carry a "<fileKey>:" prefix when it is not the primary file
# refNode	catalogNode	reason	refs	openRefs	sampleReportId8
9050-213971	9050-214062	child	1	1	0b377639
9061-244538	9061-243175	child	1	1	5ac25d63
9081-273544	9002-158964	child	1	0	0f2f60f8
9081-273545	9002-158964	child	1	0	a9dfc735
9081-273563	9002-158964	child	1	1	bdfbae07
9104-77776	9102-300724	child	4	4	076bf353
9104-77778	9102-300724	child	1	1	c68e4578
9104-77789	9102-300724	child	1	1	490d8aff
9104-77793	9102-300724	child	2	2	669bf4ec
9104-77840	9102-300724	child	1	1	19371769
9104-77841	9102-300724	child	2	2	a4987113
9104-77919	9102-300724	child	1	1	9f64becf
9104-78071	9102-300724	child	1	1	48c2d74d
9106-77733	9137-88222	child	1	1	7a723450
9135-85234	9135-85233	child	1	1	954a4b66
9135-86683	9102-300724	child	1	1	9473ca80
9148-78692	9048-190933	child	2	2	7bbbc9e7
9264-84559	9264-84556	child	3	3	693660f8
9264-84650	9264-84556	child	1	1	5e62ebb2
9264-84710	9264-84556	child	4	4	28330da4
9264-84711	9264-84556	child	2	2	3f17ce12
9264-84712	9264-84556	child	1	1	80731217
9780-155764	9045-187547	child	1	1	d550a4f6
9780-156079	9045-188835	child	1	1	12c8fabc
9780-156254	9042-164814	child	2	2	59576ae5
9780-157338	9042-164814	child	1	1	de4e8625
9873-181394	9873-180218	child	1	1	8b33c4d5
9873-183005	9873-181829	child	1	1	f7443374
9875-184991	9875-183815	child	1	1	822c8556
9878-185412	9896-102883	child	1	1	4e499e1b
9878-187475	9917-92472	child	1	1	b36745fa
9889-85451	9889-84104	child	1	1	7f482024
9889-85686	9889-85685	child	1	1	c3f30859
9890-82869	9890-82868	child	1	1	cf819589
9890-83472	9890-83471	child	1	1	15271e99
9890-86217	9890-86063	child	1	1	64d79444
9890-87768	9264-87119	child	1	1	2e6b62f9
9892-89488	9892-87850	child	1	1	65b25549
9893-92903	9893-96368	child	1	1	ef3b5ed2
9896-106278	9896-98005	child	1	1	e0a017b9
9899-106439	9899-106438	child	2	2	3222a92d
9899-106440	9899-106438	child	1	1	10d48ba7
9899-106441	9899-106438	child	2	2	84a04c06
9899-106527	9899-106438	child	1	1	9e5727b7
9899-106528	9899-106438	child	2	2	1be40cd0
9899-106541	9899-106438	child	1	1	a2617905
9899-107614	9899-106438	child	2	2	998aefab
